Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,Number of Beds
110130,IRWIN COUNTY HOSPITAL,2022-12-01,2023-01-31,34
144042,LAKE BEHAVIORAL HOSPITAL,2022-10-01,2022-12-31,161
43036,EVEREST REHABILITATION HOSPITAL BENT,2023-01-01,2023-02-28,36
454155,OCEANS BEHAVIORAL HOSPITAL CORPUS CH,2022-11-17,2022-12-31,42
144043,MONTROSE BEHAVIORAL HEALTH HOSPITAL,2022-10-03,2022-12-31,
421303,WILLIAMSBURG REGIONAL HOSPITAL,2022-10-01,2023-01-16,25
83028,PAM REHAB HOSP OF GEORGETOWN,2023-01-27,2023-04-30,34
30077,SAN CARLOS APACHE HEALTHCARE CORP,2022-10-01,2023-01-09,12
313030,BACHARACH INSTITUTE FOR REHABILITATI,2023-01-01,2023-03-30,80
673073,EVEREST REHABILITATION HOSPITAL LONG,2023-01-01,2023-02-28,36
262017,SSH - SPRINGFIELD INC.,2022-11-01,2023-01-31,44
30153,EAST VALLEY ER AND HOSPITAL,2022-10-14,2023-01-31,14
360090,ST. LUKES HOSPITAL,2022-10-01,2023-05-08,83
450697,SOUTHWEST GENERAL HOSPITAL,2022-10-01,2023-04-30,193
673074,EVEREST REHABILITATION HOSPITAL TEMP,2023-01-01,2023-02-28,36
523030,REHABILITATION HOSPITAL OF WESTERN W,2023-03-29,2023-06-30,36
363045,EVEREST REHABILITATION HOSPITAL NORT,2023-01-01,2023-02-28,36
230110,COREWELL HEALTH LUDINGTON HOSPITAL,2023-01-01,2023-06-30,39
110028,UNIVERSITY HEALTH SERVICES  INC.,2023-01-01,2023-06-30,482
230078,LAKELAND COMMUNITY HOSP WATERVLIET,2023-01-01,2023-06-30,26
230093,COREWELL HEALTH BIG RAPIDS,2023-01-01,2023-06-30,49
340051,WATAUGA MEDICAL CENTER,2022-10-01,2023-06-30,121
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,2022-10-01,2023-06-30,23
444032,EAST TENNESSEE BEHAVIORAL HEALTH,2022-11-15,2023-06-30,90
530034,SUMMIT MEDICAL CENTER  LLC,2023-01-01,2023-06-30,16
230003,COREWELL HEALTH ZEELAND,2023-01-01,2023-06-30,55
330163,EASTERN NIAGARA HOSPITAL,2023-01-01,2023-06-17,109
30010,CARONDELET ST. MARYS HOSPITAL,2022-10-01,2023-06-30,357
30011,CARONDELET ST. JOSEPH HOSPITAL,2022-10-01,2023-06-30,390
230230,EDWARD W. SPARROW HOSPITAL,2023-01-01,2023-06-30,441
230208,CARSON CITY HOSPITAL,2023-01-01,2023-06-30,48
390339,LANCASTER MEDICAL CENTER,2022-12-06,2023-06-30,100
460003,SALT LAKE REGIONAL MEDICAL CENTER,2023-05-01,2023-06-30,102
140167,IROQUOIS MEMORIAL HOSPITAL,2022-10-01,2023-07-16,25
500148,WENATCHEE VALLEY HOSPITAL,2023-01-01,2023-06-30,11
250172,DELTA HEALTH-HIGHLAND HILLS,2022-10-01,2023-04-30,15
344034,DOROTHEA DIX BEHAVIORAL HEALTH,2022-10-01,2023-06-30,37
510012,PLEASANT VALLEY HOSPITAL,2022-10-01,2023-09-30,43
364067,BLUESTONE CHILD AND ADOLESCENT PSYCH,2023-01-27,2023-06-30,
53045,SACRAMENTO REHABILITATION HOSPITAL L,2023-03-25,2023-04-30,50
250163,PATIENTS CHOICE MED CNT-SMITH CNTY,2023-01-01,2023-07-02,19
33045,REUNION REHABILITATION HOSPITAL PEOR,2023-04-15,2023-07-31,40
250043,NESHOBA COUNTY GENERAL HOSPITAL,2022-10-01,2023-09-30,38
50660,USC NORRIS CANCER HOSPITAL,2022-10-01,2023-09-30,60
14012,MARY S HARPER GERIATRIC PSYCH CEN,2022-10-01,2023-09-30,126
110161,NORTHSIDE HOSPITAL,2022-10-01,2023-09-30,673
130025,MADISON MEMORIAL HOSPITAL,2022-10-01,2023-09-30,53
370030,BLACKWELL REGIONAL HOSPITAL,2023-01-01,2023-06-30,34
523031,GREEN BAY REHABILITATION HOSPITAL,2023-05-05,2023-07-31,40
370139,PERRY MEMORIAL HOSPITAL,2023-01-01,2023-03-31,26
10051,GREENE COUNTY HOSPITAL,2022-10-01,2023-09-30,20
250018,JASPER GENERAL HOSPITAL,2022-10-01,2023-09-30,20
110111,UNIVERSITY HOSPITAL MCDUFFIE,2023-01-01,2023-06-30,25
420072,HAMPTON REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,32
373038,OKLAHOMA CITY REHABILITATION HOSPITA,2022-11-29,2023-08-31,40
140052,OSF SAINT ANTHONYS HEALTH CENTER,2022-10-01,2023-09-30,49
373037,TULSA REHABILITATION HOSPITAL,2022-10-18,2023-08-31,40
420067,BEAUFORT MEMORIAL HOSPITAL,2022-10-01,2023-09-30,167
450085,GRAHAM REGIONAL MEDICAL CENTER,2022-10-01,2023-08-03,25
31313,CARONDELET HOLY CROSS HOSPITAL,2022-10-01,2023-06-30,25
70031,THE GRIFFIN HOSPITAL,2022-10-01,2023-09-30,101
454156,VOYAGES OF SUGAR LAND BH,2023-02-01,2023-06-30,60
250060,JEFFERSON COUNTY HOSPITAL,2022-10-01,2023-05-31,12
180106,THE MEDICAL CENTER OF ALBANY,2023-04-01,2023-09-07,20
110189,FANNIN REGIONAL HOSPITAL,2023-01-01,2023-06-30,50
131302,NORTH CANYON MEDICAL CENTER,2022-10-01,2023-09-30,16
250097,SOUTHWEST MS REGIONAL MED CENTER,2022-10-01,2023-09-30,97
490115,TWIN COUNTY REGIONAL HOSPITAL,2022-10-01,2023-09-30,141
673071,ENCOMPASS HEALTH REHABILITATION HOSP,2022-10-01,2023-09-30,60
433027,ENCOMPASS HEALTH REHABILITATION HOSP,2022-10-01,2023-09-30,40
514011,HIGHLAND CLARKSBURG HOSPITAL INC,2022-10-01,2023-09-30,
10034,COMMUNITY HOSPITAL INC.,2022-10-01,2023-09-30,37
123025,REHABILITATION HOSPITAL OF THE PACIF,2022-10-01,2023-09-30,82
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCAR,2022-10-01,2023-09-30,89
241376,GLACIAL RIDGE HOSPITAL,2022-10-01,2023-09-30,19
471301,GIFFORD MEDICAL CENTER,2022-10-01,2023-09-30,25
421301,ABBEVILLE AREA MEDICAL CENTER,2022-10-01,2023-09-30,25
490005,WINCHESTER MEDICAL CENTER,2022-10-01,2023-09-30,455
521348,VERNON MEMORIAL HOSPITAL,2022-10-01,2023-09-30,18
13301,USA CHILDRENS AND WOMENS HOSPITAL,2022-10-01,2023-09-30,245
110121,GRADY GENERAL HOSPITAL,2022-10-01,2023-09-30,44
111331,MITCHELL COUNTY HOSPITAL,2022-10-01,2023-09-30,25
170150,SOUTH CENTRAL KS REGIONAL MEDICAL CT,2023-01-01,2023-08-25,32
340008,SCOTLAND MEMORIAL HOSPITAL,2022-10-01,2023-09-30,104
490033,WARREN MEMORIAL HOSPITAL,2022-10-01,2023-09-30,36
673038,MEMORIAL HERMANN REHAB HOSP KATY,2022-10-01,2023-09-30,35
30138,WESTERN REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,38
110038,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,2022-10-01,2023-09-30,199
130071,ST. LUKES NAMPA MEDICAL CENTER,2022-10-01,2023-09-30,87
201312,WALDO COUNTY GENERAL HOSPITAL,2022-10-01,2023-09-30,25
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,2022-10-01,2023-09-30,154
421304,EDGEFIELD COUNTY HEALTHCARE,2022-10-01,2023-09-30,25
10021,DALE MEDICAL CENTER,2022-10-01,2023-09-30,77
14014,BAYPOINTE BEHAVIORAL HEALTH,2022-10-01,2023-09-30,
50169,PIH HEALTH WHITTIER HOSPITAL,2022-10-01,2023-09-30,405
50393,PIH HEALTH HOSPITAL - DOWNEY,2022-10-01,2023-09-30,133
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,50
200021,MID COAST HOSPITAL,2022-10-01,2023-09-30,93
220084,EMERSON HOSPITAL,2022-10-01,2023-09-30,111
250100,BAPTIST MEM HOSPITAL GOLDEN TRIANGLE,2022-10-01,2023-09-30,146
301303,WEEKS MEDICAL CENTER,2022-10-01,2023-09-30,25
340024,SAMPSON REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,67
340070,ALAMANCE REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,176
340142,CARTERET COUNTY GENERAL HOSPITAL COM,2022-10-01,2023-09-30,99
461310,BLUE MOUNTAIN HOSPITAL,2022-10-01,2023-09-30,11
491302,CARILION GILES COMMUNITY HOSPITAL,2022-10-01,2023-09-30,25
491304,CARILION ROCKBRIDGE COMMUNITY HOSP,2022-10-01,2023-09-30,25
70021,WINDHAM COMMUNITY MEMORIAL HOSPITAL,2022-10-01,2023-09-30,46
100022,JACKSON MEMORIAL,2022-10-01,2023-09-30,1608
100087,SARASOTA MEMORIAL HOSPITAL,2022-10-01,2023-09-30,786
140100,MIDWESTERN REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,73
190065,BATON ROUGE GENERAL,2022-10-01,2023-09-30,256
190111,WILLIS-KNIGHTON HEALTH SYSTEMS,2022-10-01,2023-09-30,674
201302,LINCOLNHEALTH,2022-10-01,2023-09-30,25
220135,FALMOUTH HOSPITAL,2022-10-01,2023-09-30,81
250104,JEFF ANDERSON REGIONAL MEDICAL CENTE,2022-10-01,2023-09-30,270
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,2022-10-01,2023-09-30,18
301307,MEMORIAL HOSPITAL,2022-10-01,2023-09-30,25
301310,ANDROSCOGGIN VALLEY HOSPITAL,2022-10-01,2023-09-30,25
380005,ASHLAND COMMUNITY HOSPITAL,2022-10-01,2023-09-30,41
470012,SOUTHWESTERN VERMONT MEDICAL CENTER,2022-10-01,2023-09-30,53
521343,STOUGHTON HOSPITAL ASSOCIATION,2022-10-01,2023-09-30,20
521347,WESTERN WISCONSIN HEALTH,2022-10-01,2023-09-30,25
40119,WHITE RIVER MEDICAL CENTER,2022-10-01,2023-09-30,170
41332,UNITY HEALTH - NEWPORT,2022-10-01,2023-09-30,24
100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,2022-10-01,2023-09-30,172
101311,MADISON MEMORIAL HOSPITAL,2022-10-01,2023-09-30,25
110001,HAMILTON MEDICAL CENTER,2022-10-01,2023-09-30,239
110005,NORTHSIDE HOSPITAL FORSYTH,2022-10-01,2023-09-30,376
